epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4557,2.00177,2.8667,2.05717,0.87196,0.04506,0.02677,0.00764,2.47001,13.3215,3.06318,0.00331818,0.00331818,0.0701364
2,75.7998,2.04166,2.62642,2.09511,0.43024,0.25834,0.11729,0.04604,2.15775,8.65135,2.47296,0.00658567,0.00658567,0.0400705
3,116.687,1.99275,2.51282,2.05389,0.59611,0.29992,0.22859,0.1069,2.01696,4.03121,2.3413,0.00978715,0.00978715,0.00993866
4,156.741,1.90062,2.35481,1.95691,0.63773,0.35022,0.35406,0.20062,1.81174,2.46983,2.13876,0.009703,0.009703,0.009703
5,196.474,1.82809,2.22911,1.90623,0.64016,0.33048,0.3525,0.20359,1.81135,2.26588,2.09891,0.009604,0.009604,0.009604
6,236.17,1.78485,2.11847,1.86693,0.69999,0.35072,0.40504,0.25084,1.63127,2.06064,1.88684,0.009505,0.009505,0.009505
7,276.35,1.74859,2.0615,1.8375,0.69054,0.4578,0.50166,0.31887,1.5241,1.73059,1.77328,0.009406,0.009406,0.009406
8,317.195,1.70863,1.98404,1.79489,0.79276,0.38914,0.46299,0.29175,1.60919,2.16041,1.85031,0.009307,0.009307,0.009307
9,357.589,1.68916,1.97021,1.77731,0.80403,0.44279,0.51211,0.32713,1.53899,1.71495,1.76775,0.009208,0.009208,0.009208
10,397.502,1.6684,1.93048,1.76161,0.55682,0.51727,0.52936,0.34067,1.45668,1.68564,1.71478,0.009109,0.009109,0.009109
11,437.377,1.65576,1.89754,1.7482,0.69498,0.47312,0.50545,0.3122,1.51197,1.68673,1.7711,0.00901,0.00901,0.00901
12,477.11,1.62901,1.85908,1.73171,0.72087,0.48563,0.53752,0.32931,1.52608,1.63668,1.76901,0.008911,0.008911,0.008911
13,516.958,1.61672,1.82936,1.72059,0.71357,0.49646,0.52645,0.32369,1.51097,1.64346,1.78076,0.008812,0.008812,0.008812
14,556.733,1.58174,1.78825,1.69423,0.70283,0.53657,0.55118,0.34097,1.47381,1.57261,1.7082,0.008713,0.008713,0.008713
15,596.334,1.57735,1.78,1.68379,0.78363,0.5003,0.55251,0.35507,1.48687,1.58818,1.7437,0.008614,0.008614,0.008614
16,636.163,1.56893,1.7616,1.67775,0.76422,0.50391,0.56271,0.37152,1.37077,1.57844,1.66513,0.008515,0.008515,0.008515
17,675.785,1.55906,1.73891,1.66653,0.58706,0.55144,0.5734,0.37279,1.412,1.49855,1.65693,0.008416,0.008416,0.008416
18,715.432,1.53618,1.69668,1.64961,0.59841,0.52722,0.55916,0.35384,1.432,1.58546,1.70383,0.008317,0.008317,0.008317
19,754.885,1.55114,1.70044,1.64722,0.7179,0.50634,0.55636,0.35997,1.38386,1.51958,1.63318,0.008218,0.008218,0.008218
20,794.595,1.52085,1.68202,1.64229,0.65015,0.5539,0.59209,0.39178,1.361,1.45595,1.61206,0.008119,0.008119,0.008119
21,834.602,1.49352,1.63466,1.61726,0.67782,0.57649,0.60434,0.40299,1.34265,1.3704,1.59954,0.00802,0.00802,0.00802
22,875.46,1.50835,1.64157,1.63671,0.65454,0.55084,0.58562,0.39788,1.32524,1.3748,1.61104,0.007921,0.007921,0.007921
23,915.095,1.46932,1.60276,1.59887,0.71722,0.54993,0.60669,0.39659,1.35953,1.37198,1.6138,0.007822,0.007822,0.007822
24,954.632,1.47304,1.58909,1.60404,0.70847,0.56303,0.60306,0.4166,1.2841,1.35452,1.5811,0.007723,0.007723,0.007723
25,994.138,1.4663,1.57269,1.59256,0.71109,0.5319,0.58252,0.39106,1.3377,1.48648,1.62805,0.007624,0.007624,0.007624
26,1033.83,1.47238,1.59087,1.5967,0.62618,0.58553,0.59701,0.40757,1.32521,1.35132,1.62313,0.007525,0.007525,0.007525
27,1073.48,1.45516,1.55155,1.58513,0.69514,0.56982,0.60434,0.39818,1.34867,1.35739,1.6183,0.007426,0.007426,0.007426
28,1113.28,1.4498,1.5583,1.57937,0.67787,0.57353,0.60133,0.40191,1.3373,1.39361,1.60568,0.007327,0.007327,0.007327
29,1154.12,1.47158,1.57582,1.59272,0.80362,0.54214,0.60863,0.41689,1.29789,1.32851,1.5657,0.007228,0.007228,0.007228
30,1194.89,1.43156,1.51991,1.56052,0.7267,0.57902,0.61513,0.41579,1.2969,1.27978,1.56143,0.007129,0.007129,0.007129
31,1235.15,1.41969,1.51036,1.55927,0.68503,0.57211,0.61003,0.41188,1.28871,1.27622,1.55078,0.00703,0.00703,0.00703
