epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.414,1.3107,2.87696,1.85242,0.86785,0.74137,0.83075,0.61611,1.37493,2.69076,1.87929,0.000333092,0.000333092,0.0670238
2,416.503,1.26486,2.70701,1.81688,0.85681,0.78782,0.86301,0.66387,1.28529,2.37184,1.78822,0.00065543,0.00065543,0.0340128
3,613.358,1.23584,2.62671,1.7951,0.87697,0.79263,0.8686,0.67427,1.265,2.24948,1.76459,0.000966767,0.000966767,0.000990852
4,810.465,1.22152,2.57906,1.78664,0.88436,0.78732,0.86686,0.67278,1.26079,2.24978,1.75913,0.0009505,0.0009505,0.0009505
5,1007.39,1.22386,2.57196,1.7878,0.87769,0.79486,0.86952,0.67523,1.26146,2.23247,1.7608,0.000934,0.000934,0.000934
6,1204.52,1.22721,2.58787,1.79185,0.89461,0.79234,0.87119,0.67599,1.26252,2.2422,1.76607,0.0009175,0.0009175,0.0009175
7,1401.61,1.225,2.57116,1.79003,0.8885,0.79135,0.87016,0.67431,1.26398,2.24542,1.76477,0.000901,0.000901,0.000901
8,1598.4,1.22189,2.56311,1.78916,0.86792,0.79781,0.8672,0.67759,1.26298,2.23828,1.76478,0.0008845,0.0008845,0.0008845
9,1795.24,1.22341,2.57043,1.7869,0.86701,0.79707,0.86809,0.67578,1.26095,2.24268,1.76112,0.000868,0.000868,0.000868
10,1991.84,1.23192,2.58186,1.79237,0.8856,0.78638,0.86718,0.67644,1.26297,2.23817,1.76057,0.0008515,0.0008515,0.0008515
11,2189.05,1.22958,2.58081,1.79114,0.88581,0.79344,0.87003,0.676,1.26258,2.23058,1.76095,0.000835,0.000835,0.000835
12,2385.74,1.22772,2.56891,1.78967,0.87499,0.80522,0.87226,0.67616,1.26707,2.22255,1.76413,0.0008185,0.0008185,0.0008185
13,2582.96,1.22544,2.56552,1.7856,0.87082,0.80205,0.87082,0.67607,1.26267,2.23027,1.76324,0.000802,0.000802,0.000802
14,2779.68,1.22274,2.55621,1.78863,0.87306,0.79416,0.86858,0.67824,1.26328,2.23565,1.76583,0.0007855,0.0007855,0.0007855
15,2976.59,1.2272,2.56205,1.78986,0.87282,0.80021,0.8707,0.67799,1.26142,2.21058,1.76271,0.000769,0.000769,0.000769
16,3173.37,1.22452,2.53695,1.78577,0.88724,0.79212,0.86807,0.67634,1.2627,2.21416,1.75922,0.0007525,0.0007525,0.0007525
17,3370.34,1.21983,2.54225,1.78357,0.87009,0.79959,0.8672,0.67936,1.26071,2.22944,1.75918,0.000736,0.000736,0.000736
18,3567.09,1.21656,2.52226,1.77772,0.88052,0.79545,0.869,0.67602,1.26196,2.22724,1.7607,0.0007195,0.0007195,0.0007195
19,3763.56,1.21539,2.51944,1.77959,0.86454,0.80382,0.87133,0.678,1.26237,2.21809,1.76209,0.000703,0.000703,0.000703
20,3960.49,1.22859,2.55464,1.7856,0.87691,0.79883,0.86952,0.67867,1.26106,2.21757,1.76041,0.0006865,0.0006865,0.0006865
21,4156.97,1.22241,2.54636,1.78538,0.87474,0.8029,0.86939,0.67753,1.2641,2.22382,1.76327,0.00067,0.00067,0.00067
22,4354.17,1.21912,2.53499,1.78041,0.88886,0.79372,0.87017,0.67673,1.26551,2.22138,1.76249,0.0006535,0.0006535,0.0006535
23,4550.95,1.20934,2.51889,1.77552,0.88273,0.7953,0.86958,0.68077,1.26077,2.22246,1.75955,0.000637,0.000637,0.000637
24,4748.38,1.21846,2.53533,1.78111,0.88937,0.79066,0.87009,0.67821,1.25964,2.22385,1.75861,0.0006205,0.0006205,0.0006205
25,4945.25,1.22076,2.53084,1.78299,0.87682,0.80398,0.87101,0.67946,1.25811,2.22332,1.75732,0.000604,0.000604,0.000604
